fonte,forma_de_acesso,colunas_autorais,entrevistas_escritas_completas,transcricoes_palestras_aulas,participacoes_em_reportagens,casos_relatorios_profissionais,artigos_profissionais,artigos_academicos,videos_podcasts,livros_capitulos,total_producoes_unicas,pendentes,status_reconciliacao
Agroanalysis,Site próprio,0,0,0,0,0,4,0,0,0,4,1,Completo
Bank of China Brasil - Agencia Brasilia,Fonte original ou institucional reconciliada,0,0,1,0,0,0,0,0,0,1,0,Completo
Brazil Economy,Site próprio,0,3,0,0,0,0,0,0,0,3,1,Completo
CNBC Brasil,Site próprio,0,5,0,2,0,0,0,5,0,12,8,Completo
Columbia CCSI,Site próprio,0,0,0,0,2,0,0,0,0,2,0,Completo
Conselho Empresarial Brasil-China,Fonte original ou institucional reconciliada,0,0,1,0,0,0,0,0,0,1,0,Completo
Editora FGV,Catálogos editoriais,0,0,0,0,0,0,0,0,2,2,0,Completo
Estadao,Site próprio,0,1,0,5,0,0,0,0,0,6,0,Completo
FGV EESP,Fonte original ou institucional reconciliada,0,0,0,0,0,0,0,6,0,6,0,Completo
Figshare,Fonte original ou institucional reconciliada,0,0,0,0,0,0,3,0,0,3,0,Completo
Financas 101,YouTube,0,0,0,0,0,0,0,234,0,234,0,Completo
Folha de S.Paulo,Site próprio,1,3,0,8,0,0,0,0,0,12,0,Completo
FUNCEX RBCE,Site próprio,0,0,0,0,0,4,0,0,0,4,0,Completo
Global Agribusiness Festival / YouTube,YouTube,0,0,0,0,0,0,0,2,0,2,0,Completo
GV casos / GV pesquisas,Site próprio,0,0,0,0,10,0,0,0,0,10,0,Completo
GV Executivo,Site próprio,0,0,0,0,0,3,0,0,0,3,0,Completo
InfoMoney,Site próprio,0,0,0,2,0,0,0,0,0,2,0,Completo
LinkedIn 2017-2018,Arquivo autoral estruturado,53,0,0,0,0,0,0,0,0,53,0,Completo
Money Times,Site próprio,35,3,0,6,0,0,0,9,0,53,1,Completo
Nova Futura Investimentos / YouTube,YouTube,0,0,0,0,0,0,0,1,0,1,0,Completo
Outras editoras,Catálogos editoriais,0,0,0,0,0,0,0,0,4,4,0,Completo
Outros periodicos academicos,Lattes CNPq e fontes acadêmicas,0,0,0,0,0,0,91,0,0,91,0,Completo
People's Daily,Material a fornecer,0,1,0,0,0,0,0,0,0,1,40,Aguardando material
Semana de Economia da FMU,Fonte original ou institucional reconciliada,0,0,1,0,0,0,0,0,0,1,0,Completo
Sputnik,Site próprio,0,1,0,0,0,0,0,1,0,2,0,Completo
TesteTesteTesteTeste,Link informado na revisão,1,0,0,0,0,0,0,0,0,1,0,incluido_por_revisao
The Economist,Site próprio,0,0,0,2,0,0,0,0,0,2,0,Completo
Touros e Ursos,Site próprio,0,3,0,0,0,0,0,2,0,5,0,Completo
TozziniFreire,Site próprio,0,1,0,0,0,0,0,1,0,2,0,Completo
TV 247 / YouTube,YouTube,0,0,0,0,0,0,0,1,0,1,0,Completo
Valor Economico,Site próprio,0,0,0,10,0,1,0,0,0,11,0,Completo
Xinhua,Material a fornecer,0,0,1,0,0,0,0,0,0,1,50,Aguardando material
