item_id,ordem_no_arquivo,titulo,data_publicacao,data_original,data_status,ano,fonte,n_imagens,n_tabelas,ocorrencias_duplicadas_no_docx
hsia-li-79f48d0da1fe,1,Tem-Tem Win-Win: Fundo de Investimento China - Brasil,,,nao_localizada_no_docx,,FGV / LinkedIn 2017-2018,0,0,0
hsia-li-bc1c5a6e81e1,2,Quem paga mais taxa de juros? Brasil ou China?,,,nao_localizada_no_docx,,FGV / LinkedIn 2017-2018,0,1,1
hsia-li-ada0dec9e50a,3,Reforma de Imposto de Trump e ações de tecnologias na China!,2017-12-04,Data 04/Dez/2017,linha_data,2017,FGV / LinkedIn 2017-2018,2,0,0
hsia-li-31b4b2ec8e90,4,Bitcoin AINDA não é vilã dos preços de commodities.,2017-12-11,Data 11/Dez/2017,linha_data,2017,FGV / LinkedIn 2017-2018,2,0,0
hsia-li-e1a0480604d4,5,Pizzacoin ou Bitcoin?,2017-12-18,Data 18/Dez/2017,linha_data,2017,FGV / LinkedIn 2017-2018,2,0,0
hsia-li-4bab55d647e8,6,Mais venda de carros de Luxo em 2018!!!,2017-12-25,Data 25/Dez/2017,linha_data,2017,FGV / LinkedIn 2017-2018,2,0,0
hsia-li-09681fcc9287,7,Quer pagar quanto no Petróleo? Aceitamos em RMB!,2018-01-01,Data 01/Jan/2018,linha_data,2018,FGV / LinkedIn 2017-2018,2,0,0
hsia-li-15b02423aeb8,8,Cadê empresas listadas que produzem zinco?,2018-01-08,Data 08/Jan/2018,linha_data,2018,FGV / LinkedIn 2017-2018,2,0,0
hsia-li-13b4ef8b8483,9,Petrobras na festa da IPO Saudi Aramco!!!,2018-01-15,Data 15/Jan/2018,linha_data,2018,FGV / LinkedIn 2017-2018,2,0,0
hsia-li-63e4f8cbe0ec,10,Alta de Bolsa + Alta de Taxa de juros = Crise?,2018-01-22,Data 22/Jan/2018,linha_data,2018,FGV / LinkedIn 2017-2018,1,0,0
hsia-li-fb42f32c8a83,11,Próximo desafio da PagSeguro?,2018-01-29,Data 29/Jan/2018,linha_data,2018,FGV / LinkedIn 2017-2018,2,0,0
hsia-li-61330637e1ca,12,Amazon.com P/E de 305 vezes!,2018-02-05,Data 05/Fev/2018,linha_data,2018,FGV / LinkedIn 2017-2018,2,0,0
hsia-li-eba6617b96cd,13,Risco Sistemático Global continua?,2018-02-12,Data 12/Fevereiro/2018,linha_data,2018,FGV / LinkedIn 2017-2018,2,0,0
hsia-li-1ac2439ad5bd,14,Ano “bom pra cahorro”!!,2018-02-19,Data 19/Fevereiro/2018,linha_data,2018,FGV / LinkedIn 2017-2018,1,0,0
hsia-li-356786439b47,15,Nova Coca Cola do Warren Buffett!,2018-02-26,Data 26/Fevereiro/2018,linha_data,2018,FGV / LinkedIn 2017-2018,2,0,0
hsia-li-1f6fa590b352,16,"Nossos Heróis: Soja, Milho e Trigo",2018-03-05,Data 05/Março/2018,linha_data,2018,FGV / LinkedIn 2017-2018,1,0,0
hsia-li-5a29ad28ebff,17,Exportar Mais Frutas para a China,2018-03-12,Data 12/Março/2018,linha_data,2018,FGV / LinkedIn 2017-2018,2,0,0
hsia-li-e1a5065a41d6,18,Guerra comercial entre EUA e China,2018-03-19,Data 19/Março/2018,linha_data,2018,FGV / LinkedIn 2017-2018,2,0,0
hsia-li-e26291fed8f9,19,Brasil Ganha com a Guerra Comercial EUA e China,2018-03-26,Data 26/Março/2018,linha_data,2018,FGV / LinkedIn 2017-2018,2,0,0
hsia-li-be4d1a32e7e8,20,"1, 2, 3, 4 e 5",2018-04-02,Data 02/Abril/2018,linha_data,2018,FGV / LinkedIn 2017-2018,0,1,0
hsia-li-c74adf303cd7,21,Encontrar uma Ilha Segura,2018-04-09,Data 09/Abril/2018,linha_data,2018,FGV / LinkedIn 2017-2018,1,0,0
hsia-li-d554ede0e363,22,Petróleo: “No olho do furacão”,2018-04-16,Data 16/Abril/2018,linha_data,2018,FGV / LinkedIn 2017-2018,1,0,0
hsia-li-76e6c1bce155,23,Risco de Guerra Cambial,2018-04-23,Data 23/Abril/2018,linha_data,2018,FGV / LinkedIn 2017-2018,1,0,0
hsia-li-33515125f96e,24,Everybody loves US Dollar,2018-04-30,Data 30/Abril/2018,linha_data,2018,FGV / LinkedIn 2017-2018,1,0,0
hsia-li-d4906b6f4ebf,25,Soja Americana,2018-05-07,Data 07/Maio/2018,linha_data,2018,FGV / LinkedIn 2017-2018,1,0,0
hsia-li-aecf87cc8789,26,Devolvendo dinheiro!,2018-05-14,Data 14/Maio/2018,linha_data,2018,FGV / LinkedIn 2017-2018,1,0,0
hsia-li-f62f79f2f2cc,27,Um alívio para setor de tecnologia!,2018-05-20,Data 20/Maio/2018,linha_data,2018,FGV / LinkedIn 2017-2018,1,0,0
hsia-li-bd7f90ddc7ff,28,BIF 2018,2018-05-28,Data 28/Maio/2018,linha_data,2018,FGV / LinkedIn 2017-2018,1,0,0
hsia-li-50e1413c255a,29,Solução de ESG para Petrobras,2018-06-04,Data 04/Junho/2018,linha_data,2018,FGV / LinkedIn 2017-2018,1,0,0
hsia-li-e3a8e1f9f6b7,30,“Flangos” não são iguais!!!,2018-06-11,Data 11/Junho/2018,linha_data,2018,FGV / LinkedIn 2017-2018,3,0,0
hsia-li-fbf9f8d7ed8a,31,Foco no Mercado Interno,2018-06-25,Data 25/Junho/2018,linha_data,2018,FGV / LinkedIn 2017-2018,1,0,0
hsia-li-fa209b3e91e4,32,Quem vai ser dono do varejo no Brasil?,2018-07-02,Data 02/Julho/2018,linha_data,2018,FGV / LinkedIn 2017-2018,2,0,0
hsia-li-b0fec39cbec4,33,Remédio Salva Bolsa!,2018-07-09,Data 09/Julho/2018,linha_data,2018,FGV / LinkedIn 2017-2018,2,0,0
hsia-li-970be065f7f1,34,As Commodities são para especialistas!,2018-07-15,Data 15/Julho/2018,linha_data,2018,FGV / LinkedIn 2017-2018,3,0,0
hsia-li-0412c3d33903,35,"BBBEs (Bom, Bonito, Barato, e Experimenta, experimenta......) !",2018-07-23,Data 23/Julho/2018,linha_data,2018,FGV / LinkedIn 2017-2018,2,0,0
hsia-li-c0a0f69365ee,36,Quem está usando Facebook?,2018-07-29,Data 29/Julho/2018,linha_data,2018,FGV / LinkedIn 2017-2018,1,0,0
