fonte,forma_de_acesso,colunas_autorais,entrevistas_escritas_completas,transcricoes_palestras_aulas,participacoes_em_reportagens,casos_relatorios_profissionais,artigos_profissionais,artigos_academicos,videos_podcasts,livros_capitulos,total_producoes_unicas,pendentes,status_reconciliacao
Money Times,Site próprio,35,3,0,6,0,0,0,9,0,53,1,reconciliacao_completa_com_validacao
Brazil Economy,Site próprio,0,3,0,0,0,0,0,0,0,3,1,reconciliacao_completa_com_validacao
LinkedIn 2017-2018,Arquivos a fornecer,20,0,0,0,0,0,0,0,0,20,36,aguardando_material_fornecido
CNBC Brasil,Site próprio,0,5,0,2,0,0,0,5,0,12,8,reconciliacao_completa_com_validacao
Sputnik,Site próprio,0,1,0,0,0,0,0,1,0,2,0,reconciliacao_completa
Financas 101,YouTube,0,0,0,0,0,0,0,234,0,234,0,reaproveitado_sem_nova_coleta
InfoMoney,Site próprio,0,0,0,2,0,0,0,0,0,2,0,producao_adicional_verificada
Touros e Ursos,Site próprio,0,3,0,0,0,0,0,2,0,5,0,reconciliacao_completa
TozziniFreire,Site próprio,0,1,0,0,0,0,0,1,0,2,0,reconciliacao_completa
Folha de S.Paulo,Site próprio,1,3,0,8,0,0,0,0,0,12,0,cobertura_superior
Estadao,Site próprio,0,1,0,5,0,0,0,0,0,6,0,reconciliacao_completa
Valor Economico,Site próprio,0,0,0,10,0,1,0,0,0,11,0,cobertura_superior
The Economist,Site próprio,0,0,0,2,0,0,0,0,0,2,0,reconciliacao_completa
Xinhua,Material a fornecer,0,0,1,0,0,0,0,0,0,1,50,aguardando_material_fornecido
People's Daily,Material a fornecer,0,1,0,0,0,0,0,0,0,1,40,aguardando_material_fornecido
FUNCEX RBCE,Site próprio,0,0,0,0,0,4,0,0,0,4,0,reconciliacao_completa
GV Executivo,Site próprio,0,0,0,0,0,3,0,0,0,3,0,cobertura_superior
Agroanalysis,Site próprio,0,0,0,0,0,4,0,0,0,4,1,reconciliacao_completa_com_validacao
Columbia CCSI,Site próprio,0,0,0,0,2,0,0,0,0,2,0,reconciliacao_completa
GV casos / GV pesquisas,Site próprio,0,0,0,0,10,0,0,0,0,10,0,reconciliacao_completa
Outros periodicos academicos,Lattes CNPq e fontes acadêmicas,0,0,0,0,0,0,91,0,0,91,0,cobertura_superior
Editora FGV,Catálogos editoriais,0,0,0,0,0,0,0,0,2,2,0,reconciliacao_completa
Outras editoras,Catálogos editoriais,0,0,0,0,0,0,0,0,4,4,0,cobertura_superior
Bank of China Brasil - Agencia Brasilia,Fonte original ou institucional reconciliada,0,0,1,0,0,0,0,0,0,1,0,producao_adicional_verificada
Conselho Empresarial Brasil-China,Fonte original ou institucional reconciliada,0,0,1,0,0,0,0,0,0,1,0,producao_adicional_verificada
FGV EESP,Fonte original ou institucional reconciliada,0,0,0,0,0,0,0,6,0,6,0,producao_adicional_verificada
Figshare,Fonte original ou institucional reconciliada,0,0,0,0,0,0,3,0,0,3,0,producao_adicional_verificada
Global Agribusiness Festival / YouTube,YouTube,0,0,0,0,0,0,0,2,0,2,0,producao_adicional_verificada
Nova Futura Investimentos / YouTube,YouTube,0,0,0,0,0,0,0,1,0,1,0,producao_adicional_verificada
Semana de Economia da FMU,Fonte original ou institucional reconciliada,0,0,1,0,0,0,0,0,0,1,0,producao_adicional_verificada
TV 247 / YouTube,YouTube,0,0,0,0,0,0,0,1,0,1,0,producao_adicional_verificada
